Random waveform, supplied seed
Total number of intervals = 134 (5319, 118456, 14807, 156463, 28584, 8060, 173248, 35709, 53312, 142106, 67298, 9202, 112614, 14678, 84900, 78527, 71117, 143897, 63774, 105494, 52991, 8157, 45523, 143551, 32455, 140524, 79870, 68547, 167378, 71048, 23332, 108627, 31521, 15365, 93741, 88752, 75839, 47638, 164553, 26684, 103013, 168492, 71479, 98086, 145673, 168771, 34906, 28933, 99751, 124678, 108827, 59514, 75254, 14326, 129032, 144334, 67748, 31935, 152964, 24510, 142233, 101923, 56806, 63569, 160336, 21899, 7042, 29634, 150091, 37119, 121334, 93398, 103013, 165910, 80452, 42779, 48458, 122177, 80746, 85092, 159254, 41774, 127008, 76766, 57778, 124636, 99557, 8674, 157899, 11532, 63522, 70274, 142650, 108738, 132659, 24898, 7593, 17596, 136415, 142719, 38570, 9330, 166088, 101314, 147935, 39225, 173098, 127770, 97194, 30527, 109837, 66634, 43157, 99823, 108232, 39166, 44521, 104945, 97301, 73173, 40131, 176336, 127312, 97810, 50882, 72895, 97764, 162367, 31031, 177679, 122047, 167697, 9912, 136895)
Average QPS expected = 85376
Timestamp start: 1747425076197
Timestamp end: 1747425876467

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      390.2   553.1    68.9   118.5   135.6   238.4   283.7   312.0   336.7   375.9   708.9  1479.2  3150.6  4350.3  7991.9 126909.8   127008
read      245.7   175.7    63.8   102.8   113.0   210.2   274.7   313.5   341.7   374.2   414.0   469.7   633.9  2176.3  5207.5  76568.5    76766
read      246.8   156.2    63.8   102.1   112.7   225.2   283.3   316.8   339.8   365.6   396.3   439.9   558.1  2079.4  3787.1  57737.0    57778
read      369.0   450.9    68.9   115.4   131.3   234.2   283.3   314.5   342.6   396.8   907.6  1425.2  1999.0  3757.1  7801.3 124658.5   124636
read      259.6   184.2    63.8   107.0   118.5   206.8   278.4   333.8   375.8   419.0   468.0   543.0   705.3  2128.4  4671.8  99528.3    99557
read      184.1    74.6    63.8   106.0   120.0   180.5   198.5   208.9   216.2   225.7   236.2   258.2   319.1   915.9  2949.1   8661.2     8674
read      281.7   313.7    63.8   119.0   134.0   223.6   268.7   294.7   314.9   340.7   378.6   467.8  1626.5  3457.3  7296.3 157956.5   157899
read      189.3    74.3    63.8   106.4   120.7   185.5   205.9   217.4   226.1   235.1   249.5   271.4   334.2   866.6  2881.9  11667.0    11532
read      250.3   180.0    68.9   102.4   113.2   222.9   285.8   320.9   345.2   372.3   404.4   454.3   627.7  2236.0  5859.0  63445.3    63522
read      252.7   188.5    63.8   102.4   112.9   219.2   286.0   324.4   351.6   381.6   417.6   469.2   632.3  2588.7  4816.3  70287.2    70274
read      298.2   361.8    63.8   113.8   127.8   217.1   264.1   290.8   311.5   338.5   383.8   920.3  1676.9  3624.1  7552.5 142535.5   142650
read      246.4   164.2    63.8   106.6   117.8   196.1   250.1   288.0   320.0   369.2   449.4   573.5   804.6  1388.4  3013.4 108787.0   108738
read      355.4   470.2    63.8   117.5   133.1   234.0   280.5   308.5   331.8   366.4   469.4  1399.2  2679.3  4086.4  7882.7 132683.8   132659
read      216.3   115.5    63.8   104.2   116.3   210.8   244.3   262.1   273.7   288.4   306.2   333.8   403.8  1374.1  3377.2  24923.0    24898
read      178.8    72.5    59.1   106.2   120.3   174.9   191.8   200.9   208.5   216.7   228.6   248.6   307.1   864.7  3107.7   7600.3     7593
read      205.2    93.3    63.8   105.1   118.0   200.6   228.3   242.8   252.9   265.4   280.6   306.0   374.8  1134.0  3074.6  17634.8    17596
read      316.0   440.1    63.8   114.5   128.9   222.3   269.0   295.0   315.6   342.2   387.1   876.4  2917.4  4109.8  7897.9 136352.7   136415
read      253.8   338.8    63.8   111.4   123.5   199.4   243.6   269.8   288.6   310.9   340.1   391.3  2073.3  3544.5  7647.1 142992.2   142719
read      230.0   131.2    63.8   103.2   114.6   217.6   261.8   285.7   302.3   320.9   344.3   380.5   480.5  1824.9  2991.7  38601.3    38570
read      184.7    66.4    68.9   106.1   121.0   182.0   200.3   211.0   218.0   227.9   239.7   260.8   319.6   845.1  2340.6   9330.8     9330
read      306.9   368.1    74.4   128.6   145.8   240.2   283.3   308.8   328.3   353.9   392.8   494.7  1854.8  4020.4  7795.8 165806.5   166088
read      241.9   178.3    63.8   106.0   116.7   194.8   250.9   288.5   319.0   362.2   425.8   526.5   734.0  1973.6  3573.8 101439.7   101314
read      209.2   129.7    68.9   109.8   120.6   186.0   222.9   245.8   263.4   284.5   311.7   354.0   476.1  1716.3  3413.8 148050.7   147935
read      226.9   116.9    63.8   103.0   114.2   215.3   258.5   282.2   298.9   318.4   342.0   376.7   470.7  1460.3  2702.2  39051.8    39225
read      345.6   331.4    74.4   148.9   170.1   274.5   321.0   350.7   373.8   404.0   453.4   764.0  1696.3  3433.4  7394.1 172714.7   173098
read      338.6   476.9    68.9   114.0   128.4   223.5   271.4   298.8   320.5   352.4   421.5  1317.3  2863.1  4332.8  7980.1 127732.3   127770
read      252.9   189.8    63.8   106.7   117.7   202.1   263.6   306.2   342.5   390.1   448.8   536.8   786.0  2155.6  5275.5  97036.8    97194
read      224.6   117.0    63.8   103.8   115.8   216.7   257.1   277.3   291.6   307.8   327.3   357.7   436.9  1428.7  2987.1  30471.0    30527
read      293.3   257.1    63.8   110.8   123.7   211.4   269.8   315.8   365.9   454.7   583.6   776.4  1292.7  2140.8  6285.8 109817.3   109837
read      240.7   142.3    63.8   102.4   112.5   214.9   275.1   310.5   335.7   364.6   399.3   450.8   573.7  1634.3  3337.6  66533.8    66634
read      237.0   154.1    63.8   102.2   113.5   222.4   271.9   298.3   316.0   336.2   360.9   397.9   503.5  1692.8  5935.2  43089.7    43157
read      255.0   195.3    63.8   106.8   117.9   202.1   264.1   307.4   344.7   394.8   456.9   547.2   792.5  2287.7  5141.8  99751.5    99823
